disease name,icd-11,gene ID,gene symbol
T2DM,5A11,5444,PON1
T2DM,5A11,5366,PMAIP1
T2DM,5A11,23017,FAIM2
T2DM,5A11,8832,CD84
T2DM,5A11,4852,NPY
T2DM,5A11,6275,S100A4
T2DM,5A11,2161,F12
T2DM,5A11,56884,FSTL5
T2DM,5A11,400120,SERTM1
T2DM,5A11,10320,IKZF1
T2DM,5A11,54518,APBB1IP
T2DM,5A11,9899,SV2B
T2DM,5A11,1620,BRINP1
T2DM,5A11,1600,DAB1
T2DM,5A11,7474,WNT5A
T2DM,5A11,6262,RYR2
T2DM,5A11,5142,PDE4B
T2DM,5A11,5996,RGS1
T2DM,5A11,6696,SPP1
T2DM,5A11,25769,SLC24A2
T2DM,5A11,57528,KCTD16
T2DM,5A11,7166,TPH1
T2DM,5A11,27122,DKK3
T2DM,5A11,1026,CDKN1A
T2DM,5A11,5105,PCK1
T2DM,5A11,7052,TGM2
T2DM,5A11,9388,LIPG
T2DM,5A11,29968,PSAT1
T2DM,5A11,9595,CYTIP
T2DM,5A11,222008,VSTM2A
T2DM,5A11,2571,GAD1
T2DM,5A11,8671,SLC4A4
T2DM,5A11,2042,EPHA3
T2DM,5A11,26045,LRRTM2
T2DM,5A11,140738,TMEM37
T2DM,5A11,3394,IRF8
T2DM,5A11,64092,SAMSN1
T2DM,5A11,162494,RHBDL3
T2DM,5A11,183,AGT
T2DM,5A11,3485,IGFBP2
T2DM,5A11,1439,CSF2RB
T2DM,5A11,6004,RGS16
T2DM,5A11,2268,FGR
T2DM,5A11,5166,PDK4
T2DM,5A11,6857,SYT1
T2DM,5A11,1734,DIO2
T2DM,5A11,5552,SRGN
